make,fueltype,aspiration,numofdoors,bodystyle,drivewheels,bootSpacelt,enginelocation,price
alfa-romero,gas,std,two,convertible,rwd,1,front,13495
alfa-romero,gas,std,two,convertible,rwd,2,front,16500
alfa-romero,gas,std,two,hatchback,rwd,3,front,16500
audi,gas,std,four,sedan,fwd,4,front,13950
audi,gas,std,four,sedan,4wd,1,front,17450
audi,gas,std,two,sedan,fwd,2,front,15250
audi,gas,std,four,sedan,fwd,1,front,17710
audi,gas,std,four,wagon,fwd,2,front,18920
audi,gas,turbo,four,sedan,fwd,1,front,23875
audi,gas,turbo,two,hatchback,4wd,2,front,23456
bmw,gas,std,two,sedan,rwd,1,front,16430
bmw,gas,std,four,sedan,rwd,2,front,16925
bmw,gas,std,two,sedan,rwd,1,front,20970
bmw,gas,std,four,sedan,rwd,2,front,21105
bmw,gas,std,four,sedan,rwd,1,front,24565
bmw,gas,std,four,sedan,rwd,2,front,30760
bmw,gas,std,two,sedan,rwd,1,front,41315
bmw,gas,std,four,sedan,rwd,2,front,36880
chevrolet,gas,std,two,hatchback,fwd,1,front,5151
chevrolet,gas,std,two,hatchback,fwd,3,front,6295
chevrolet,gas,std,four,sedan,fwd,4,front,6575
dodge,gas,std,two,hatchback,fwd,1,front,5572
dodge,gas,std,two,hatchback,fwd,3,front,6377
dodge,gas,turbo,two,hatchback,fwd,4,front,7957
dodge,gas,std,four,hatchback,fwd,1,front,6229
dodge,gas,std,four,sedan,fwd,3,front,6692
dodge,gas,std,four,sedan,fwd,4,front,7609
dodge,gas,turbo,four,sedan,fwd,1,front,8558
dodge,gas,std,four,wagon,fwd,3,front,8921
dodge,gas,turbo,two,hatchback,fwd,4,front,12964
honda,gas,std,two,hatchback,fwd,1,front,6479
honda,gas,std,two,hatchback,fwd,3,front,6855
honda,gas,std,two,hatchback,fwd,4,front,5399
honda,gas,std,two,hatchback,fwd,1,front,6529
honda,gas,std,two,hatchback,fwd,3,front,7129
honda,gas,std,four,sedan,fwd,4,front,7295
honda,gas,std,four,wagon,fwd,1,front,7295
honda,gas,std,two,hatchback,fwd,3,front,7895
honda,gas,std,two,hatchback,fwd,4,front,9095
honda,gas,std,four,sedan,fwd,1,front,8845
honda,gas,std,four,sedan,fwd,3,front,10295
honda,gas,std,four,sedan,fwd,4,front,12945
honda,gas,std,two,sedan,fwd,1,front,10345
isuzu,gas,std,four,sedan,rwd,3,front,6785
isuzu,gas,std,two,sedan,fwd,4,front,6785
isuzu,gas,std,four,sedan,fwd,1,front,6785
isuzu,gas,std,two,hatchback,rwd,3,front,11048
jaguar,gas,std,four,sedan,rwd,4,front,32250
jaguar,gas,std,four,sedan,rwd,1,front,35550
jaguar,gas,std,two,sedan,rwd,3,front,36000
mazda,gas,std,two,hatchback,fwd,4,front,5195
mazda,gas,std,two,hatchback,fwd,1,front,6095
mazda,gas,std,two,hatchback,fwd,3,front,6795
mazda,gas,std,four,sedan,fwd,4,front,6695
mazda,gas,std,four,sedan,fwd,1,front,7395
mazda,gas,std,two,hatchback,rwd,3,front,10945
mazda,gas,std,two,hatchback,rwd,4,front,11845
mazda,gas,std,two,hatchback,rwd,1,front,13645
mazda,gas,std,two,hatchback,rwd,4,front,15645
mazda,gas,std,two,hatchback,fwd,1,front,8845
mazda,gas,std,four,sedan,fwd,3,front,8495
mazda,gas,std,two,hatchback,fwd,4,front,10595
mazda,gas,std,four,sedan,fwd,1,front,10245
mazda,diesel,std,four,sedan,fwd,4,front,10795
mazda,gas,std,four,hatchback,fwd,1,front,11245
mazda,gas,std,four,sedan,rwd,3,front,18280
mazda,diesel,std,four,sedan,rwd,4,front,18344
mercedes-benz,diesel,turbo,four,sedan,rwd,1,front,25552
mercedes-benz,diesel,turbo,four,wagon,rwd,4,front,28248
mercedes-benz,diesel,turbo,two,hardtop,rwd,1,front,28176
mercedes-benz,diesel,turbo,four,sedan,rwd,3,front,31600
mercedes-benz,gas,std,four,sedan,rwd,4,front,34184
mercedes-benz,gas,std,two,convertible,rwd,1,front,35056
mercedes-benz,gas,std,four,sedan,rwd,7,front,40960
mercedes-benz,gas,std,two,hardtop,rwd,4,front,45400
mercury,gas,turbo,two,hatchback,rwd,1,front,16503
mitsubishi,gas,std,two,hatchback,fwd,3,front,5389
mitsubishi,gas,std,two,hatchback,fwd,4,front,6189
mitsubishi,gas,std,two,hatchback,fwd,1,front,6669
mitsubishi,gas,turbo,two,hatchback,fwd,3,front,7689
mitsubishi,gas,turbo,two,hatchback,fwd,4,front,9959
mitsubishi,gas,std,two,hatchback,fwd,1,front,8499
mitsubishi,gas,turbo,two,hatchback,fwd,3,front,12629
mitsubishi,gas,turbo,two,hatchback,fwd,4,front,14869
mitsubishi,gas,turbo,two,hatchback,fwd,1,front,14489
mitsubishi,gas,std,four,sedan,fwd,3,front,6989
mitsubishi,gas,std,four,sedan,fwd,4,front,8189
mitsubishi,gas,turbo,four,sedan,fwd,1,front,9279
mitsubishi,gas,std,four,sedan,fwd,3,front,9279
nissan,gas,std,two,sedan,fwd,4,front,5499
nissan,diesel,std,two,sedan,fwd,1,front,7099
nissan,gas,std,two,sedan,fwd,3,front,6649
nissan,gas,std,four,sedan,fwd,4,front,6849
nissan,gas,std,four,wagon,fwd,1,front,7349
nissan,gas,std,two,sedan,fwd,3,front,7299
nissan,gas,std,two,hatchback,fwd,4,front,7799
nissan,gas,std,four,sedan,fwd,1,front,7499
nissan,gas,std,four,wagon,fwd,3,front,7999
